Issue Type,Summary,Epic Name,Epic Link,Sprint,Story Points,Status,Labels
Epic,Nền tảng & quản trị nhân sự,VSH-E01,,,42,Done,report-2026
Epic,Kiểm soát ra/vào đa phương thức,VSH-E02,,,71,Done,report-2026
Epic,"Khách, phương tiện & đăng ký trước",VSH-E03,,,32,Done,report-2026
Epic,Chấm công & bản đồ vận hành,VSH-E04,,,34,Done,report-2026
Epic,An ninh doanh nghiệp & SOC,VSH-E05,,,79,Done,report-2026
Epic,Camera thiết bị & lưu trữ video,VSH-E06,,,34,Done,report-2026
Epic,"Giao tiếp, thông báo & Mobile",VSH-E07,,,45,Done,report-2026
Epic,Đồng bộ triển khai & vận hành,VSH-E08,,,49,Done,report-2026
Epic,"Chất lượng, UI UX & phát hành",VSH-E09,,,70,Done,report-2026
Epic,AI Agent doanh nghiệp,VSH-E10,,,13,Done,report-2026
Story,Khởi tạo API .NET 8 Vue và database,,VSH-E01,VSH-S01 — Khởi tạo nền tảng,8,Done,foundation
Story,Xây đăng nhập tài khoản và liên kết nhân viên,,VSH-E01,VSH-S01 — Khởi tạo nền tảng,8,Done,identity
Story,Quản lý nhân viên phòng ban chức vụ và ảnh,,VSH-E01,VSH-S01 — Khởi tạo nền tảng,8,Done,hr
Story,Tích hợp FaceID phiên bản đầu,,VSH-E02,VSH-S01 — Khởi tạo nền tảng,8,Done,faceid
Story,Xây nhận diện biển số Việt Nam,,VSH-E02,VSH-S01 — Khởi tạo nền tảng,5,Done,plate
Story,Khởi tạo đăng ký trước và dashboard,,VSH-E03,VSH-S01 — Khởi tạo nền tảng,5,Done,visitor
Story,Xây luồng điều phối Thông hành,,VSH-E02,VSH-S02 — Thông hành & QR,8,Done,gate-transit
Story,Tích hợp FaceID và biển số vào phiên thông hành,,VSH-E02,VSH-S02 — Thông hành & QR,8,Done,gate-transit
Story,Xây QR động QR tĩnh và QR khách,,VSH-E03,VSH-S02 — Thông hành & QR,8,Done,qr
Story,Bổ sung xác nhận thủ công và cảnh báo cổng,,VSH-E02,VSH-S02 — Thông hành & QR,8,Done,fallback
Story,Chuẩn hóa camera RTSP go2rtc và preview,,VSH-E06,VSH-S02 — Thông hành & QR,8,Done,camera
