Summary,Work Type,Parent,Sprint,Assignee,Story point estimate,Priority,Status,Labels,Description
Triển khai operational scope role permissions và scope override,Story,SCRUM-6,Sprint 1 — Nền tảng vận hành phân tán,Phạm Văn Thành,5,Highest,Done,sprint-1,"Evidence: 008b650c bb390685"
Ổn định QR hai làn camera archive và Docker sync,Story,SCRUM-5,Sprint 1 — Nền tảng vận hành phân tán,Phạm Văn Thành,5,Highest,Done,sprint-1,"Evidence: 3c5c6807 7ec57d59 1d6575db bfc3b058"
Hoàn thiện alerts SignalR auth và camera stream mode UI,Story,SCRUM-8,Sprint 1 — Nền tảng vận hành phân tán,Phạm Ngọc Hoài Anh,5,High,Done,sprint-1,"Evidence: 0f473247 f453c0b2 b19d6814"
Hoàn thiện mobile biometric offline QR và camera preview,Story,SCRUM-5,Sprint 1 — Nền tảng vận hành phân tán,Phạm Ngọc Hoài Anh,5,High,Done,sprint-1,"Evidence: 4295cf02 c3a5f3b9"
Kiểm thử trọng yếu auth QR camera sync và offline flow,Task,SCRUM-9,Sprint 1 — Nền tảng vận hành phân tán,Hà Quang Sang,2,Highest,Done,testing,"Evidence: API View Mobile test suites"
Tổng hợp hướng dẫn cài đặt và biên bản Sprint 1,Task,SCRUM-9,Sprint 1 — Nền tảng vận hành phân tán,Bùi Nhật Huy,2,Medium,Done,documentation,"Evidence: README DOCKER_RUN_GUIDE và tài liệu Sprint"
Cô lập face runtime và hỗ trợ multi-camera session,Story,SCRUM-5,Sprint 2 — FaceID contract & UI RC,Phạm Văn Thành,5,Highest,Done,sprint-2,"Evidence: 04531db2 d075bab2 adfa5953 9bbeaa10"
Chuẩn hóa face lifecycle credential và access decision,Story,SCRUM-6,Sprint 2 — FaceID contract & UI RC,Phạm Văn Thành,5,Highest,Done,sprint-2,"Evidence: ddf080e0 27237549 ccb999b2 8793a86e"
Xây authenticated FaceCamera workflow và UI nhận diện,Story,SCRUM-7,Sprint 2 — FaceID contract & UI RC,Phạm Ngọc Hoài Anh,5,High,Done,sprint-2,"Evidence: 869a2f50 743a9fe8 FaceCamera.vue"
Nâng cấp UI UX và đóng gói UI RC1 RC2,Story,SCRUM-9,Sprint 2 — FaceID contract & UI RC,Phạm Ngọc Hoài Anh,5,Highest,Done,sprint-2,"Evidence: 929c77f2 3a357e08 ef855da8 cc7b39a9"
Chạy smoke regression FaceID và xác minh release gates,Task,SCRUM-9,Sprint 2 — FaceID contract & UI RC,Hà Quang Sang,2,Highest,Done,testing,"Evidence: RC2 functional visual accessibility gates"
Tổng hợp FaceID RC report và UAT handoff,Task,SCRUM-9,Sprint 2 — FaceID contract & UI RC,Bùi Nhật Huy,2,High,Done,documentation,"Evidence: 55742cc5 ui-rc2-release-report và face docs"
Nâng FaceID YuNet SFace remote enrollment và multi-face,Story,SCRUM-7,Sprint 3 — FaceGate Quality & AI Agent,Phạm Văn Thành,5,Highest,Done,sprint-3,"Evidence: 7edc6b56 cd81bd14 bccd86c8 014d878d"
Tích hợp FaceGate relay sync AI Agent mail và VPS,Story,SCRUM-5,Sprint 3 — FaceGate Quality & AI Agent,Phạm Văn Thành,5,Highest,Done,sprint-3,"Evidence: 1bf38fb0 16fbb462 a39edfe3 9c3c4245"
Hoàn thiện dashboard FaceCamera và gate monitor UI,Story,SCRUM-8,Sprint 3 — FaceGate Quality & AI Agent,Phạm Ngọc Hoài Anh,5,High,Done,sprint-3,"Evidence: 66996a2e 3b82609b 47cf7fca"
Hoàn thiện mobile API biometric và gọi WebRTC,Story,SCRUM-5,Sprint 3 — FaceGate Quality & AI Agent,Phạm Ngọc Hoài Anh,5,Highest,Done,sprint-3,"Evidence: 48bcd9bf 148ab5f9 ae42b1c2 97102763"
Chạy regression smoke và tổng hợp coverage CI,Task,SCRUM-9,Sprint 3 — FaceGate Quality & AI Agent,Hà Quang Sang,2,Highest,Done,testing,"Evidence: 5a422047 cdf0b6ab d246aafa 8d17551c"
Tổng hợp hướng dẫn FaceID Agent mail và Sprint 3,Task,SCRUM-9,Sprint 3 — FaceGate Quality & AI Agent,Bùi Nhật Huy,2,Medium,Done,documentation,"Evidence: remote-faceid-enrollment-ops và AI-AGENT-KE-HOACH-2026"
Triển khai realtime hybrid sync notification và Docker-only,Story,SCRUM-5,Sprint 4 — Realtime Mobile & Portal,Phạm Văn Thành,5,Highest,Done,sprint-4,"Evidence: 9ea84498 5eed7024 8d8066fb c705ae6c"
Ổn định mobile WebRTC background connection và VPS,Story,SCRUM-5,Sprint 4 — Realtime Mobile & Portal,Phạm Văn Thành,5,Highest,Done,sprint-4,"Evidence: 6e0dcfc4 fef6ae3c a242519d 4d14402f"
Xây notification center và responsive navigation web,Story,SCRUM-8,Sprint 4 — Realtime Mobile & Portal,Phạm Ngọc Hoài Anh,5,High,Done,sprint-4,"Evidence: 329d390f 4802ffb6 47296504 f6d7b6e7"
Xây public portal đa trang và sân khấu 3D Mecha,Story,SCRUM-9,Sprint 4 — Realtime Mobile & Portal,Phạm Ngọc Hoài Anh,5,High,Done,scope-extension,"Evidence: d3126f21 040b380c 2e63cb2a 8a24707a"
Regression smoke realtime mobile portal và lỗi trọng yếu,Task,SCRUM-9,Sprint 4 — Realtime Mobile & Portal,Hà Quang Sang,2,Highest,Done,testing,"Evidence: 3017fac7 f8f9600a 70111e1d automated call tests"
Chốt Jira báo cáo và hồ sơ bàn giao,Task,SCRUM-9,Sprint 4 — Realtime Mobile & Portal,Bùi Nhật Huy,2,High,Done,documentation,"Evidence: docs folder và biên bản Sprint"
